COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
,762101154,761104329,,37217,37271,762101154,BOTOŞANI,,,,SCOALA GIMNAZIALA NR. 2 GURANDA,SCOALA GIMNAZIALA NR 2 GURANDA,GURANDA,GURANDA,,
,762103423,761100135,,35884,35893,762103423,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR.1 STAUCENI,GRADINITA CU PROGRAM NORMAL NR 1 STAUCENI,STĂUCENI,,,
,762100958,761105312,125338105,39872,39907,762100958,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 4 JOLDESTI,GRADINITA CU PROGRAM NORMAL NR 4 JOLDESTI,JOLDEŞTI,,,
32228857,761105208,,71217686,35731,35740,761105208,BOTOŞANI,,,4,GRADINITA CU PROGRAM PRELUNGIT NR. 6 BOTOSANI,GRADINITA CU PROGRAM PRELUNGIT NR 6 BOTOSANI,BOTOŞANI,CURCUBEULUI,,
,762101706,761104894,,39694,39710,762101706,BOTOŞANI,,,,SCOALA GIMNAZIALA NR 3 IONĂŞENI,SCOALA GIMNAZIALA NR 3 IONASENI,IONĂŞENI,,,
,762103961,761105339,,37850,37869,762103961,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR.2 LEORDA,GRADINITA CU PROGRAM NORMAL NR 2 LEORDA,LEORDA,LEORDA,,
,762105497,761105036,,36809,36827,762105497,BOTOŞANI,,,1,ŞCOALA PRIMARĂ NR. 7 AVRAM IANCU COŢUŞCA,SCOALA PRIMARA NR 7 AVRAM IANCU COTUSCA,AVRAM IANCU,AVRAM IANCU,,
,762103631,761105303,,36131,36168,762103631,BOTOŞANI,,,,SCOALA PRIMARA NR.3 COSTIUGENI,SCOALA PRIMARA NR 3 COSTIUGENI,COŞTIUGENI,COSTIUGENI,,
,762102612,761104297,,39417,39471,762102612,BOTOŞANI,,,,SCOALA PRIMARA NR. 5 MIHAI VITEAZU,SCOALA PRIMARA NR 5 MIHAI VITEAZU,MIHAI VITEAZU,,,
,762103097,761104813,,39532,39569,762103097,BOTOŞANI,,,,SCOALA PRIMARA NR. 3 BURLESTI,SCOALA PRIMARA NR 3 BURLESTI,BURLEŞTI,,,
,762101941,761104804,38862201,36907,36925,762101941,BOTOŞANI,,,,SCOALA PRIMARA NR. 2 ONEAGA,SCOALA PRIMARA NR 2 ONEAGA,ONEAGA,ONEAGA,,
,762101493,761105321,224,38241,38303,762101493,BOTOŞANI,,,,SCOALA PRIMARA NR. 1 SARATA MIHALASENI,SCOALA PRIMARA NR 1 SARATA MIHALASENI,SARATA,SARATA,,
3372378,761104528,,391710,35946,35955,761104528,BOTOŞANI,,,20A,"""LICEUL """"DIMITRIE CANTEMIR"""" DARABANI""",LICEUL DIMITRIE CANTEMIR DARABANI,DARABANI,T UDOR VLADIMIRESCU,,
,762100723,761105357,,39836,39845,762100723,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR. 1 VORNICENI,GRADINITA CU PROGRAM NORMAL NR 1 VORNICENI,VORNICENI,,,
,762102372,761105298,,37958,38054,762102372,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 5 ZAHORENI,GRADINITA CU PROGRAM NORMAL NR 5 ZAHORENI,ZAHORENI,ZAHORENI,,
,762105502,761105009,,37770,37798,762105502,BOTOŞANI,,,1,GRADINIŢA CU PROGRAM NORMAL NR. 3 ALBA HUDEŞTI,GRADINITA CU PROGRAM NORMAL NR 3 ALBA HUDESTI,ALBA,ALBA,,
,762101136,761104329,,37217,37262,762101136,BOTOŞANI,,,,SCOALA PRIMARA NR. 2 CUCUTENI,SCOALA PRIMARA NR 2 CUCUTENI,CUCUTENI,CUCUTENI,,
,762103405,761104998,,38544,38553,762103405,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 1 POMIRLA,GRADINITA CU PROGRAM NORMAL NR 1 POMIRLA,POMÂRLA,,,
,762103156,761104365,,39266,39275,762103156,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR.1 TODIRENI,GRADINITA CU PROGRAM NORMAL NR 1 TODIRENI,TODIRENI,,,
,762102526,761105416,,38982,39015,762102526,BOTOŞANI,,,,SCOALA GIMNAZIALA ’’CONSTANTIN TINCU’’ LISNA,SCOALA GIMNAZIALA CONSTANTIN TINCU LISNA,LIŞNA,,,
,762100266,761105167,,37173,37191,762100266,BOTOŞANI,,,,SCOALA PRIMARA NR.2 PODRIGA,SCOALA PRIMARA NR 2 PODRIGA,PODRIGA,PODRIGA,,
24004450,761104953,,7390584,38811,38820,761104953,BOTOŞANI,,,,SCOALA GIMNAZIALA NR. 1 ROMA,SCOALA GIMNAZIALA NR 1 ROMA,ROMA,,,
22711594,761105262,,388036,36300,36319,761105262,BOTOŞANI,,,,SCOALA GIMNAZIALA NR 1 BALUSENI,SCOALA GIMNAZIALA NR 1 BALUSENI,BĂLUŞENI,BALUSENI,,
,762101724,761104736,,37057,37075,762101724,BOTOŞANI,,,,SCOALA PRIMARA NR. 1 HULUB,SCOALA PRIMARA NR 1 HULUB,HULUB,HULUB,,
,762103988,761105339,,37850,37896,762103988,BOTOŞANI,,,,GRADINITA CU PROGRAM NORMAL NR 3 DOLINA,GRADINITA CU PROGRAM NORMAL NR 3 DOLINA,DOLINA,DOLINA,,
,762102589,761104297,739126532,39417,39480,762102589,BOTOŞANI,,,,SCOALA PRIMARA NR. 7 MINDRESTI,SCOALA PRIMARA NR 7 MINDRESTI,MÂNDREŞTI,,,
33331051,771105285,,391904,36006,36015,771105285,BOTOŞANI,,,,CLUBUL COPIILOR DOROHOI,CLUBUL COPIILOR DOROHOI,DOROHOI,GRIGORE GHICA,,
