COD FISCAL,COD SIIIR,COD SIIIR SUP,COD SIRUES,SIRUTA LOC SUP,SIRUTA LOCALITATE,cod,judet,lat,lon,nr,nume,nume_ascii,oras,str,wikidata,
24872384,2761202392,,3049241,120860,120879,2761202392,NEAMŢ,,,01.mar,"""ȘCOALA POSTLICEALĂ SANITARĂ """"MOLDOVA"""""," MUNICIPIUL ROMAN""",SCOALA POSTLICEALA SANITARA MOLDOVA MUNICIPIUL ROMAN,ROMAN,REPUBLICII,
,2762103585,2761102946,,122702,122748,2762103585,NEAMŢ,,,200,"""ȘCOALA GIMNAZIALĂ NR. 1", SAT CĂCIULEŞTI," COMUNA GIROV""",SCOALA GIMNAZIALA NR 1 SAT CACIULESTI COMUNA GIROV,CĂCIULEŞTI,PRINCIPALĂ
,2762103029,2761102304,,121108,121126,2762103029,NEAMŢ,,,192,"""ȘCOALA GIMNAZIALĂ “MIHAI EMINESCU”", SAT FILIOARA," COMUNA AGAPIA""",SCOALA GIMNAZIALA “MIHAI EMINESCU SAT FILIOARA COMUNA AGAPIA,FILIOARA,MIHAI EMINESCU
,2762103368,2761101859,,123479,123497,2762103368,NEAMŢ,,,173,"""ȘCOALA GIMNAZIALĂ LUMINIŞ"," COMUNA PIATRA ȘOIMULUI""",SCOALA GIMNAZIALA LUMINIS COMUNA PIATRA SOIMULUI,LUMINIŞ,LUMINII,
2614317,2751101705,,614801,121055,121064,2751101705,NEAMŢ,,,101,"""CLUBUL COPIILOR"," ORAȘ TÂRGU NEAMȚ""",CLUBUL COPIILOR ORAS TARGU NEAMT,TÂRGU NEAMŢ,MĂRĂȘEȘTI,
,2762101063,2761102679,619215,123013,123040,2762101063,NEAMŢ,,,1,"""ȘCOALA PRIMARĂ BĂTRÂNEŞTI"," COMUNA ICUŞEŞTI""",SCOALA PRIMARA BATRANESTI COMUNA ICUSESTI,BĂTRÂNEŞTI,PRINCIPALĂ,
,2762101208,2761102937,,122249,122267,2762101208,NEAMŢ,,,1017,"""ȘCOALA GIMNAZIALĂ HUISUREZ"," COMUNA DĂMUC""",SCOALA GIMNAZIALA HUISUREZ COMUNA DAMUC,HUISUREZ,PRINCIPALĂ,
,2762100555,2761101999,,124723,124741,2762100555,NEAMŢ,,,482,"""ȘCOALA GIMNAZIALĂ MIRON COSTIN"," COMUNA TRIFEȘTI""",SCOALA GIMNAZIALA MIRON COSTIN COMUNA TRIFESTI,MIRON COSTIN,PRINCIPALĂ,
2613303,2761101945,,960482,120726,120735,2761101945,NEAMŢ,,,12,"""COLEGIUL NAȚIONAL DE INFORMATICĂ"," MUNICIPIUL PIATRA-NEAMȚ""",COLEGIUL NATIONAL DE INFORMATICA MUNICIPIUL PIATRA NEAMT,PIATRA-NEAMŢ,MIHAI VITEAZU,
17379015,2761102946,,618534,122702,122711,2761102946,NEAMŢ,,,335,"""ȘCOALA GIMNAZIALĂ """"PROF. GHEORGHE DUMITREASA"""""," COMUNA GIROV""",SCOALA GIMNAZIALA PROF GHEORGHE DUMITREASA COMUNA GIROV,GIROV,CALEA ROMANULUI,
